Index,8 Backcandles,15 Backcandles,30 Backcandles,60 Backcandles,180 Backcandles,Actual Price
0,"2,064.00","2,080.61","2,089.48","2,101.61","2,158.68","2,111.63"
1,"2,068.80","2,087.86","2,093.93","2,117.32","2,170.75","2,105.45"
2,"2,075.79","2,101.02","2,104.01","2,103.40","2,175.54","2,109.72"
3,"2,088.76","2,097.01","2,061.43","2,103.27","2,173.70","2,120.87"
4,"2,084.02","2,101.13","2,075.39","2,108.97","2,161.72","2,089.72"
5,"2,088.19","2,110.59","2,094.23","2,105.59","2,165.64","2,105.69"
6,"2,097.23","2,073.29","2,125.13","2,085.97","2,143.54","2,118.64"
7,"2,059.63","2,082.28","2,139.64","2,102.46","2,139.33","2,152.15"
8,"2,071.51","2,098.04","2,127.01","2,133.32","2,164.87","2,163.49"
9,"2,087.96","2,127.16","2,130.12","2,142.22","2,109.66","2,150.65"
10,"2,116.64","2,143.44","2,136.90","2,133.73","2,089.31","2,154.45"
11,"2,131.06","2,134.58","2,132.66","2,132.17","2,134.68","2,157.79"
12,"2,120.70","2,136.73","2,111.72","2,126.13","2,126.55","2,151.42"
13,"2,122.98","2,141.91","2,127.25","2,063.70","2,089.38","2,135.51"
14,"2,128.53","2,137.91","2,154.96","2,081.45","2,043.74","2,152.96"
15,"2,124.81","2,119.10","2,162.07","2,059.79","2,056.07","2,182.14"
16,"2,105.87","2,131.15","2,155.26","2,086.70","2,050.34","2,181.45"
17,"2,119.60","2,156.26","2,157.32","2,120.54","2,072.36","2,175.88"
18,"2,145.10","2,165.40","2,153.14","2,128.65","2,088.05","2,182.29"
19,"2,153.10","2,161.67","2,089.10","2,141.43","2,113.04","2,175.72"
20,"2,147.91","2,164.30","2,106.32","2,148.96","2,123.91","2,118.69"
21,"2,150.01","2,160.35","2,078.09","2,159.29","2,144.08","2,141.59"
22,"2,147.22","2,102.75","2,102.26","2,160.54","2,154.18","2,101.36"
23,"2,089.13","2,112.27","2,132.46","2,159.82","2,168.45","2,135.96"
24,"2,102.83","2,086.57","2,141.01","2,162.75","2,148.04","2,167.40"
25,"2,076.45","2,107.56","2,158.90","2,172.01","2,149.71","2,169.17"
26,"2,098.83","2,136.32","2,172.21","2,174.38","2,171.51","2,193.79"
27,"2,128.29","2,147.63","2,188.12","2,169.68","2,163.45","2,204.27"
28,"2,138.10","2,165.68","2,193.72","2,155.63","2,150.34","2,221.94"
29,"2,154.84","2,178.44","2,196.24","2,158.47","2,152.13","2,221.11"
30,"2,166.99","2,192.80","2,201.45","2,137.69","2,180.79","2,221.30"
31,"2,180.86","2,197.93","2,211.36","2,134.09","2,176.58","2,226.41"
32,"2,185.37","2,200.22","2,212.90","2,159.93","2,162.37","2,237.63"
33,"2,187.12","2,205.01","2,208.39","2,109.90","2,162.97","2,235.17"
34,"2,191.73","2,214.24","2,194.10","2,094.07","2,179.71","2,232.22"
35,"2,200.95","2,216.41","2,195.69","2,142.02","2,205.37","2,221.43"
36,"2,203.25","2,213.68","2,171.84","2,139.88","2,209.07","2,220.92"
37,"2,199.77","2,201.59","2,166.54","2,108.22","2,208.50","2,199.81"
38,"2,187.82","2,201.97","2,190.28","2,068.59","2,217.64","2,201.06"
39,"2,189.78","2,180.66","2,137.17","2,084.16","2,234.35","2,224.34"
40,"2,168.45","2,175.42","2,123.02","2,084.99","2,244.06","2,167.41"
41,"2,163.26","2,196.53","2,169.15","2,109.58","2,259.15","2,159.32"
42,"2,186.04","2,151.83","2,164.61","2,125.63","2,257.31","2,211.99"
43,"2,139.94","2,137.00","2,136.38","2,146.89","2,283.28","2,192.40"
44,"2,126.48","2,175.49","2,102.84","2,151.99","2,303.95","2,160.30"
45,"2,167.62","2,174.19","2,123.53","2,163.90","2,295.31","2,127.84"
46,"2,165.22","2,151.21","2,124.51","2,166.22","2,276.70","2,167.79"
47,"2,139.96","2,121.29","2,149.67","2,172.28","2,295.65","2,154.68"
48,"2,108.75","2,137.97","2,166.32","2,146.48","2,283.01","2,187.95"
49,"2,127.71","2,138.61","2,188.69","2,143.57","2,303.33","2,200.69"
50,"2,130.43","2,160.80","2,195.99","2,162.62","2,314.08","2,227.30"
51,"2,153.33","2,176.36","2,209.62","2,154.76","2,310.76","2,229.54"
52,"2,168.44","2,196.69","2,211.49","2,143.50","2,300.23","2,246.02"
53,"2,187.76","2,204.11","2,216.50","2,147.62","2,300.14","2,240.17"
54,"2,193.53","2,216.05","2,187.68","2,179.25","2,269.28","2,246.58"
55,"2,204.81","2,217.28","2,182.62","2,181.01","2,263.37","2,210.11"
56,"2,205.93","2,221.51","2,195.97","2,173.35","2,232.54","2,210.52"
57,"2,209.36","2,196.10","2,181.97","2,181.10","2,226.52","2,225.27"
58,"2,183.47","2,190.21","2,167.21","2,204.22","2,237.69","2,205.71"
59,"2,178.24","2,200.91","2,170.45","2,235.01","2,258.97","2,190.38"
60,"2,190.53","2,189.90","2,200.43","2,242.46","2,230.98","2,202.46"
61,"2,178.95","2,177.31","2,201.81","2,242.57","2,203.93","2,238.66"
62,"2,166.47","2,180.64","2,197.50","2,250.04","2,156.11","2,233.01"
63,"2,169.65","2,207.63","2,207.92","2,263.15","2,178.76","2,228.29"
64,"2,198.39","2,211.53","2,232.48","2,268.15","2,224.66","2,238.17"
65,"2,201.35","2,209.16","2,262.62","2,276.84","2,232.78","2,266.38"
66,"2,198.01","2,217.44","2,270.88","2,268.79","2,219.76","2,296.07"
67,"2,207.02","2,238.74","2,274.17","2,287.21","2,205.41","2,296.28"
68,"2,228.40","2,265.45","2,284.24","2,301.43","2,230.36","2,297.68"
69,"2,255.68","2,274.71","2,298.30","2,287.38","2,238.76","2,309.15"
70,"2,262.95","2,278.80","2,303.66","2,265.33","2,262.97","2,325.64"
71,"2,265.47","2,287.74","2,312.72","2,282.43","2,263.57","2,326.24"
72,"2,274.09","2,300.40","2,304.34","2,272.07","2,268.21","2,335.79"
73,"2,286.69","2,306.14","2,322.69","2,294.37","2,272.70","2,326.26"
74,"2,292.22","2,314.95","2,335.35","2,308.51","2,276.34","2,352.80"
75,"2,300.99","2,308.42","2,320.75","2,308.78","2,276.65","2,360.09"
76,"2,294.31","2,324.28","2,299.40","2,302.46","2,277.79","2,346.20"
77,"2,310.82","2,336.35","2,316.12","2,307.01","2,260.80","2,328.94"
78,"2,323.03","2,325.33","2,302.20","2,283.19","2,280.69","2,351.31"
79,"2,311.01","2,306.49","2,322.94","2,284.40","2,284.45","2,331.97"
80,"2,292.31","2,319.53","2,336.10","2,261.74","2,284.79","2,358.52"
81,"2,306.88","2,307.68","2,338.61","2,262.90","2,276.53","2,364.98"
82,"2,295.29","2,325.69","2,337.00","2,278.74","2,287.75","2,364.27"
