Index,8 Backcandles,15 Backcandles,30 Backcandles,60 Backcandles,180 Backcandles,Actual Price
0,"2,052.52","2,053.21","2,118.23","2,064.55","2,143.45","2,111.63"
1,"2,054.86","2,059.83","2,122.98","2,079.79","2,158.12","2,105.45"
2,"2,060.83","2,072.50","2,132.67","2,069.91","2,163.79","2,109.72"
3,"2,073.04","2,068.52","2,093.17","2,070.53","2,164.17","2,120.87"
4,"2,070.06","2,072.88","2,105.61","2,074.17","2,153.49","2,089.72"
5,"2,074.51","2,082.21","2,120.85","2,068.98","2,160.55","2,105.69"
6,"2,083.75","2,045.63","2,149.96","2,049.18","2,135.63","2,118.64"
7,"2,050.11","2,055.05","2,165.12","2,059.68","2,135.23","2,152.15"
8,"2,056.25","2,069.17","2,155.79","2,084.25","2,165.79","2,163.49"
9,"2,068.43","2,096.42","2,159.93","2,091.87","2,101.34","2,150.65"
10,"2,094.17","2,111.33","2,165.77","2,086.76","2,082.01","2,154.45"
11,"2,110.06","2,102.82","2,161.37","2,088.40","2,132.61","2,157.79"
12,"2,103.38","2,105.84","2,142.03","2,082.53","2,114.95","2,151.42"
13,"2,106.38","2,110.55","2,156.18","2,024.41","2,072.05","2,135.51"
14,"2,111.36","2,106.20","2,181.17","2,030.34","2,023.95","2,152.96"
15,"2,106.28","2,087.88","2,188.30","1,999.86","2,039.68","2,182.14"
16,"2,089.35","2,100.02","2,183.97","2,014.27","2,024.73","2,181.45"
17,"2,099.26","2,123.48","2,187.47","2,038.11","2,042.50","2,175.88"
18,"2,121.23","2,131.35","2,183.05","2,043.33","2,049.54","2,182.29"
19,"2,130.04","2,128.45","2,121.86","2,055.86","2,069.27","2,175.72"
20,"2,128.07","2,132.36","2,136.05","2,063.43","2,073.58","2,118.69"
21,"2,132.49","2,128.19","2,105.57","2,073.41","2,092.09","2,141.59"
22,"2,128.62","2,072.21","2,128.84","2,074.59","2,099.30","2,101.36"
23,"2,076.09","2,082.65","2,156.87","2,074.17","2,115.52","2,135.96"
24,"2,081.16","2,055.17","2,166.29","2,076.48","2,093.10","2,167.40"
25,"2,056.42","2,076.17","2,185.53","2,084.55","2,099.90","2,169.17"
26,"2,074.45","2,103.19","2,198.76","2,086.68","2,126.98","2,193.79"
27,"2,099.53","2,114.15","2,214.16","2,083.74","2,119.98","2,204.27"
28,"2,110.98","2,132.91","2,219.35","2,071.89","2,111.41","2,221.94"
29,"2,129.48","2,145.25","2,222.07","2,071.70","2,121.83","2,221.11"
30,"2,142.17","2,159.11","2,227.30","2,049.50","2,160.49","2,221.30"
31,"2,154.54","2,163.25","2,236.78","2,042.65","2,161.01","2,226.41"
32,"2,159.68","2,165.25","2,238.17","2,061.57","2,154.75","2,237.63"
33,"2,161.85","2,169.16","2,234.86","2,014.17","2,164.81","2,235.17"
34,"2,167.00","2,177.38","2,222.14","1,990.85","2,190.76","2,232.22"
35,"2,175.67","2,178.73","2,222.96","2,023.25","2,222.16","2,221.43"
36,"2,177.51","2,176.05","2,199.41","2,014.84","2,229.03","2,220.92"
37,"2,176.10","2,164.63","2,194.66","1,982.04","2,231.97","2,199.81"
38,"2,165.52","2,165.31","2,216.54","1,939.64","2,243.93","2,201.06"
39,"2,164.68","2,144.12","2,165.55","1,943.45","2,261.40","2,224.34"
40,"2,144.27","2,140.61","2,152.13","1,931.92","2,268.04","2,167.41"
41,"2,139.76","2,161.27","2,193.41","1,943.59","2,280.58","2,159.32"
42,"2,157.87","2,117.05","2,187.47","1,951.17","2,271.77","2,211.99"
43,"2,117.48","2,104.10","2,162.48","1,967.44","2,295.70","2,192.40"
