Index,8 Backcandles,15 Backcandles,30 Backcandles,60 Backcandles,180 Backcandles,Actual Price
0,"2,075.27","2,070.61","2,081.47","2,089.10","2,174.18","2,111.63"
1,"2,078.86","2,076.77","2,084.93","2,107.11","2,181.47","2,105.45"
2,"2,086.02","2,089.45","2,092.31","2,097.12","2,182.83","2,109.72"
3,"2,099.18","2,085.55","2,066.55","2,098.47","2,176.60","2,120.87"
4,"2,094.90","2,089.86","2,068.86","2,102.92","2,162.43","2,089.72"
5,"2,098.86","2,099.23","2,078.99","2,097.16","2,159.92","2,105.69"
6,"2,107.97","2,063.30","2,100.46","2,074.69","2,135.80","2,118.64"
7,"2,071.17","2,072.51","2,115.39","2,086.88","2,128.10","2,152.15"
8,"2,080.49","2,086.25","2,113.01","2,114.46","2,148.71","2,163.49"
9,"2,096.04","2,113.62","2,115.86","2,123.85","2,107.24","2,150.65"
10,"2,123.82","2,128.85","2,120.89","2,118.47","2,084.37","2,154.45"
11,"2,138.80","2,120.44","2,119.33","2,120.12","2,123.40","2,157.79"
12,"2,129.08","2,123.09","2,104.77","2,114.98","2,121.53","2,151.42"
13,"2,131.17","2,127.91","2,111.31","2,048.89","2,094.69","2,135.51"
14,"2,136.03","2,123.50","2,129.71","2,057.23","2,059.82","2,152.96"
15,"2,131.62","2,104.69","2,138.62","2,024.78","2,073.34","2,182.14"
16,"2,113.82","2,116.60","2,137.92","2,045.11","2,074.44","2,181.45"
17,"2,126.70","2,140.38","2,140.17","2,077.38","2,098.37","2,175.88"
18,"2,151.41","2,148.47","2,139.28","2,089.18","2,115.56","2,182.29"
19,"2,159.42","2,144.95","2,096.08","2,108.77","2,141.41","2,175.72"
20,"2,155.23","2,148.71","2,095.54","2,122.85","2,149.17","2,118.69"
21,"2,158.74","2,145.62","2,070.51","2,138.22","2,163.14","2,141.59"
22,"2,154.53","2,088.05","2,079.61","2,142.67","2,164.96","2,101.36"
23,"2,097.18","2,097.32","2,100.69","2,143.33","2,168.06","2,135.96"
24,"2,107.53","2,068.60","2,111.40","2,146.66","2,141.48","2,167.40"
25,"2,082.56","2,088.52","2,127.72","2,155.64","2,128.07","2,169.17"
26,"2,104.76","2,116.73","2,141.58","2,157.07","2,136.69","2,193.79"
27,"2,133.69","2,127.61","2,155.98","2,151.90","2,124.35","2,204.27"
28,"2,143.96","2,146.09","2,163.40","2,136.89","2,109.71","2,221.94"
29,"2,160.89","2,159.34","2,167.43","2,135.96","2,109.25","2,221.11"
30,"2,171.94","2,173.52","2,172.23","2,109.95","2,139.94","2,221.30"
31,"2,184.20","2,178.26","2,180.54","2,101.11","2,145.43","2,226.41"
32,"2,188.49","2,180.20","2,184.50","2,123.94","2,141.62","2,237.63"
33,"2,190.57","2,184.71","2,182.73","2,071.96","2,151.33","2,235.17"
34,"2,195.77","2,193.57","2,174.27","2,050.36","2,175.19","2,232.22"
35,"2,204.95","2,195.41","2,174.08","2,092.07","2,207.87","2,221.43"
36,"2,207.01","2,192.48","2,157.23","2,089.11","2,218.92","2,220.92"
37,"2,204.76","2,181.30","2,148.02","2,058.61","2,222.11","2,199.81"
38,"2,193.45","2,181.72","2,160.93","2,018.22","2,230.91","2,201.06"
39,"2,193.88","2,159.73","2,128.36","2,032.76","2,245.35","2,224.34"
40,"2,172.36","2,154.57","2,110.82","2,032.12","2,250.87","2,167.41"
41,"2,168.95","2,175.82","2,134.36","2,055.48","2,259.95","2,159.32"
42,"2,190.74","2,131.20","2,134.02","2,073.13","2,254.00","2,211.99"
43,"2,145.74","2,115.91","2,116.26","2,097.42","2,270.50","2,192.40"
44,"2,130.76","2,153.07","2,089.88","2,106.29","2,282.66","2,160.30"
45,"2,170.20","2,150.55","2,096.70","2,120.88","2,271.40","2,127.84"
46,"2,167.59","2,127.39","2,097.95","2,123.06","2,250.42","2,167.79"
47,"2,144.26","2,098.62","2,113.98","2,127.11","2,261.28","2,154.68"
48,"2,115.98","2,116.89","2,127.90","2,096.81","2,250.07","2,187.95"
49,"2,135.39","2,118.16","2,146.67","2,086.79","2,267.50","2,200.69"
50,"2,135.40","2,138.93","2,155.62","2,098.37","2,278.90","2,227.30"
51,"2,156.33","2,153.65","2,168.26","2,084.36","2,281.34","2,229.54"
52,"2,170.53","2,173.29","2,173.10","2,067.75","2,279.84","2,246.02"
53,"2,189.37","2,180.25","2,177.78","2,068.70","2,288.73","2,240.17"
54,"2,195.04","2,191.99","2,160.69","2,100.74","2,271.12","2,246.58"
55,"2,205.59","2,192.79","2,153.33","2,105.68","2,270.09","2,210.11"
