Index,8 Backcandles,15 Backcandles,30 Backcandles,60 Backcandles,180 Backcandles,Actual Price
78,"2,210.57","2,072.98","2,183.28","2,242.80","2,224.08","2,351.31"
79,"2,208.62","2,072.98","2,197.98","2,244.78","2,229.11","2,331.97"
80,"2,200.83","2,072.98","2,205.19","2,221.68","2,232.59","2,358.52"
81,"2,203.25","2,072.98","2,207.69","2,219.42","2,229.60","2,364.98"
82,"2,196.95","2,072.98","2,207.50","2,223.58","2,239.84","2,364.27"
83,"2,202.38","2,072.99","2,217.01","2,239.34","2,248.14","2,361.68"
84,"2,208.67","2,072.99","2,201.43","2,219.50","2,254.17","2,374.42"
85,"2,214.13","2,072.99","2,203.67","2,195.51","2,248.90","2,356.67"
86,"2,217.19","2,072.99","2,187.64","2,153.70","2,233.41","2,361.39"
87,"2,221.72","2,072.99","2,185.03","2,156.80","2,230.82","2,343.64"
88,"2,216.96","2,072.99","2,197.20","2,177.13","2,197.52","2,343.24"
89,"2,217.24","2,072.99","2,212.59","2,176.57","2,221.19","2,358.35"
90,"2,207.47","2,072.99","2,190.60","2,166.71","2,237.11","2,376.85"
91,"2,204.41","2,072.99","2,171.97","2,150.19","2,240.03","2,350.59"
92,"2,206.73","2,072.99","2,131.82","2,167.70","2,252.66","2,332.30"
93,"2,215.64","2,073.00","2,143.98","2,173.78","2,264.00","2,280.21"
94,"2,210.25","2,073.00","2,170.27","2,193.86","2,271.31","2,306.15"
95,"2,199.54","2,073.00","2,170.03","2,196.76","2,275.56","2,342.65"
96,"2,173.61","2,073.00","2,158.82","2,202.53","2,278.94","2,336.13"
97,"2,168.87","2,073.00","2,152.34","2,208.06","2,289.53","2,318.11"
98,"2,177.46","2,072.10","2,169.06","2,212.98","2,304.94","2,311.00"
99,"2,182.84","2,072.10","2,171.02","2,215.50","2,304.15","2,336.71"
100,"2,182.06","2,072.10","2,187.22","2,216.58","2,310.72","2,334.96"
101,"2,177.98","2,072.10","2,186.79","2,202.63","2,285.58","2,357.90"
102,"2,183.96","2,072.10","2,191.77","2,218.95","2,304.81","2,352.70"
103,"2,187.39","2,072.10","2,195.80","2,221.55","2,316.36","2,358.94"
104,"2,196.89","2,072.10","2,198.81","2,224.07","2,307.81","2,362.27"
105,"2,202.47","2,072.10","2,199.55","2,221.15","2,307.10","2,364.53"
106,"2,208.80","2,072.10","2,201.81","2,231.33","2,297.49","2,363.89"
107,"2,212.96","2,072.10","2,191.70","2,237.54","2,277.38","2,366.40"
108,"2,216.08","2,072.10","2,207.00","2,241.75","2,236.40","2,355.90"
109,"2,217.78","2,072.10","2,209.73","2,235.36","2,260.95","2,376.97"
110,"2,220.45","2,072.10","2,212.39","2,219.86","2,280.70","2,377.17"
111,"2,216.08","2,072.10","2,207.11","2,217.41","2,288.00","2,379.07"
112,"2,221.92","2,072.10","2,217.04","2,186.09","2,305.86","2,373.89"
113,"2,225.63","2,072.10","2,223.88","2,211.51","2,314.87","2,385.80"
114,"2,228.86","2,072.10","2,228.66","2,225.66","2,304.84","2,391.97"
115,"2,228.88","2,072.10","2,221.10","2,228.60","2,307.08","2,395.83"
116,"2,233.22","2,072.10","2,204.69","2,241.28","2,314.74","2,389.30"
117,"2,238.21","2,072.10","2,201.71","2,252.37","2,303.92","2,377.09"
118,"2,242.69","2,072.10","2,167.58","2,258.38","2,299.54","2,377.00"
119,"2,241.85","2,072.10","2,193.80","2,262.04","2,310.90","2,347.52"
120,"2,234.75","2,072.10","2,208.84","2,263.65","2,304.67","2,379.78"
121,"2,230.46","2,072.10","2,210.02","2,272.69","2,315.30","2,392.76"
122,"2,213.21","2,072.10","2,223.54","2,287.26","2,320.44","2,390.80"
123,"2,217.20","2,072.10","2,233.60","2,283.96","2,320.46","2,405.42"
124,"2,225.88","2,309.72","2,239.95","2,290.47","2,322.52","2,414.54"
125,"2,232.23","2,323.10","2,242.36","2,262.98","2,327.55","2,419.44"
126,"2,241.70","2,331.70","2,244.42","2,286.75","2,334.91","2,420.01"
127,"2,250.62","2,337.04","2,254.37","2,299.49","2,340.49","2,421.14"
128,"2,257.20","2,339.40","2,268.25","2,293.24","2,343.58","2,432.37"
129,"2,261.48","2,342.02","2,264.59","2,296.16","2,321.18","2,448.87"
130,"2,263.59","2,352.89","2,268.43","2,284.75","2,290.06","2,444.61"
131,"2,269.49","2,366.77","2,239.58","2,267.11","2,282.44","2,450.24"
132,"2,277.59","2,362.00","2,257.41","2,226.38","2,301.26","2,428.86"
133,"2,279.29","2,368.03","2,264.97","2,251.41","2,323.58","2,457.65"
134,"2,283.06","2,338.56","2,252.61","2,267.46","2,335.13","2,464.36"
135,"2,272.63","2,363.35","2,250.52","2,273.79","2,343.66","2,452.80"
136,"2,276.94","2,369.98","2,240.55","2,292.86","2,329.68","2,451.69"
137,"2,282.07","2,357.23","2,219.21","2,302.40","2,345.12","2,443.68"
138,"2,280.64","2,358.64","2,181.32","2,292.41","2,357.63","2,426.42"
139,"2,280.56","2,349.88","2,209.87","2,296.47","2,356.85","2,390.32"
140,"2,276.91","2,331.11","2,229.72","2,303.44","2,360.74","2,429.52"
141,"2,266.66","2,297.36","2,237.23","2,291.45","2,368.79","2,450.39"
142,"2,244.52","2,333.90","2,256.78","2,289.59","2,371.44","2,454.54"
143,"2,246.73","2,349.24","2,264.15","2,298.45","2,360.31","2,479.32"
144,"2,257.21","2,352.64","2,254.29","2,291.47","2,352.49","2,483.85"
145,"2,266.54","2,370.37","2,255.08","2,302.34","2,339.57","2,470.98"
146,"2,279.75","2,374.65","2,263.35","2,307.16","2,314.74","2,473.36"
147,"2,290.00","2,363.37","2,250.33","2,306.23","2,313.48","2,483.27"
148,"2,289.73","2,367.07","2,245.25","2,308.38","2,295.27","2,469.17"
149,"2,290.76","2,376.14","2,259.05","2,311.71","2,311.27","2,465.51"
150,"2,293.27","2,362.52","2,250.28","2,316.98","2,310.19","2,483.93"
151,"2,290.66","2,360.69","2,261.69","2,321.05","2,287.16","2,473.43"
152,"2,288.06","2,376.32","2,265.65","2,320.81","2,241.14","2,489.35"
153,"2,291.78","2,366.21","2,265.33","2,296.95","2,228.95","2,491.27"
154,"2,291.17","2,379.72","2,266.76","2,270.95","2,247.79","2,489.72"
155,"2,296.23","2,382.64","2,272.04","2,265.79","2,276.04","2,490.65"
156,"2,300.16","2,382.28","2,279.63","2,285.56","2,283.43","2,495.92"
157,"2,302.40","2,384.74","2,283.55","2,306.90","2,278.67","2,503.39"
158,"2,304.75","2,390.58","2,287.68","2,317.48","2,235.97","2,506.26"
159,"2,307.41","2,398.18","2,262.44","2,325.95","2,226.99","2,509.43"
160,"2,311.44","2,401.81","2,228.00","2,312.17","2,202.94","2,491.20"
161,"2,315.95","2,405.76","2,222.28","2,329.45","2,217.88","2,465.45"
162,"2,318.20","2,379.99","2,242.97","2,342.52","2,197.03","2,465.94"
163,"2,309.96","2,350.76","2,266.64","2,341.33","2,210.71","2,487.04"
164,"2,293.54","2,352.16","2,276.94","2,346.75","2,218.09","2,509.73"
165,"2,283.49","2,375.45","2,285.24","2,354.40","2,238.48","2,516.78"
166,"2,286.96","2,396.43","2,269.36","2,354.88","2,240.60","2,523.40"
167,"2,298.25","2,402.85","2,286.05","2,342.43","2,230.03","2,508.48"
168,"2,309.49","2,409.19","2,296.08","2,333.95","2,225.62","2,532.05"
169,"2,319.21","2,391.51","2,292.61","2,323.39","2,231.81","2,542.01"
170,"2,318.01","2,411.96","2,294.71","2,302.49","2,263.46","2,537.31"
171,"2,323.75","2,420.66","2,301.76","2,302.57","2,285.45","2,539.69"
172,"2,329.55","2,416.18","2,302.94","2,284.31","2,299.01","2,547.70"
173,"2,331.77","2,420.10","2,288.94","2,298.17","2,317.38","2,547.39"
174,"2,334.97","2,428.10","2,280.27","2,291.63","2,332.12","2,537.06"
175,"2,339.66","2,429.28","2,265.15","2,267.83","2,344.83","2,532.20"
176,"2,342.18","2,415.68","2,239.60","2,221.34","2,348.90","2,521.84"
177,"2,338.70","2,410.35","2,240.31","2,210.79","2,360.86","2,502.26"
178,"2,333.66","2,398.16","2,223.88","2,227.17","2,370.28","2,507.12"
179,"2,326.58","2,376.46","2,244.37","2,251.28","2,359.46","2,492.32"
180,"2,312.87","2,383.24","2,245.86","2,254.29","2,374.74","2,513.20"
181,"2,307.02","2,367.03","2,224.45","2,248.77","2,383.72","2,511.25"
182,"2,297.24","2,390.70","2,186.36","2,209.01","2,393.60","2,490.24"
183,"2,301.65","2,387.72","2,176.49","2,200.14","2,403.43","2,447.40"
184,"2,303.92","2,364.55","2,200.77","2,177.37","2,416.99","2,446.61"
185,"2,296.77","2,328.62","2,232.30","2,187.87","2,428.86","2,470.28"
186,"2,274.06","2,325.52","2,240.25","2,163.21","2,439.37","2,499.78"
187,"2,261.62","2,349.81","2,236.59","2,174.63","2,447.35","2,501.91"
188,"2,263.99","2,376.25","2,197.66","2,176.04","2,442.44","2,494.93"
189,"2,278.35","2,377.16","2,190.89","2,201.46","2,417.42","2,442.87"
190,"2,289.31","2,370.46","2,171.86","2,205.64","2,417.29","2,445.13"
191,"2,294.73","2,331.18","2,192.18","2,199.82","2,429.92","2,418.16"
192,"2,277.26","2,331.52","2,174.37","2,196.25","2,433.89","2,445.72"
193,"2,267.99","2,312.67","2,190.72","2,202.31","2,442.48","2,412.43"
194,"2,251.00","2,336.03","2,201.28","2,235.60","2,435.13","2,437.29"
195,"2,252.10","2,313.79","2,219.42","2,259.94","2,437.81","2,447.81"
196,"2,243.07","2,332.39","2,218.74","2,275.64","2,433.09","2,469.82"
197,"2,248.95","2,338.06","2,207.98","2,298.51","2,418.95","2,463.85"
198,"2,254.32","2,355.03","2,203.61","2,317.39","2,415.59","2,447.03"
199,"2,266.23","2,350.95","2,210.87","2,332.58","2,420.20","2,444.39"
200,"2,271.51","2,340.51","2,242.21","2,337.98","2,363.15","2,454.61"
201,"2,269.31","2,338.34","2,258.49","2,350.58","2,376.41","2,495.92"
202,"2,266.95","2,346.60","2,268.24","2,361.78","2,338.46","2,512.94"
203,"2,269.21","2,378.12","2,281.42","2,349.42","2,305.15","2,522.24"
204,"2,282.97","2,390.81","2,290.05","2,363.86","2,320.22","2,540.23"
205,"2,298.31","2,398.88","2,297.63","2,369.91","2,302.80","2,549.68"
206,"2,310.38","2,412.34","2,296.45","2,378.71","2,315.75","2,558.75"
207,"2,323.20","2,420.88","2,303.90","2,388.03","2,348.30","2,555.17"
208,"2,332.94","2,429.17","2,307.43","2,401.04","2,363.42","2,567.23"
209,"2,340.83","2,429.13","2,291.09","2,413.48","2,354.31","2,569.82"
210,"2,344.15","2,439.33","2,305.01","2,426.18","2,363.61","2,552.85"
211,"2,349.95","2,444.32","2,310.46","2,434.28","2,352.78","2,579.00"
212,"2,355.04","2,429.16","2,316.28","2,427.44","2,336.73","2,583.83"
213,"2,351.38","2,447.79","2,322.68","2,401.09","2,353.77","2,591.35"
214,"2,356.15","2,452.64","2,334.35","2,402.78","2,346.16","2,599.04"
215,"2,360.05","2,459.15","2,341.70","2,413.85","2,331.40","2,616.29"
216,"2,365.42","2,465.74","2,348.37","2,415.90","2,308.61","2,625.40"
217,"2,371.11","2,477.44","2,352.04","2,423.07","2,328.64","2,633.62"
218,"2,378.12","2,484.38","2,343.30","2,413.04","2,347.44","2,637.28"
219,"2,385.24","2,491.27","2,313.04","2,414.20","2,362.33","2,629.30"
220,"2,391.21","2,495.37","2,309.98","2,408.62","2,383.58","2,604.47"
221,"2,395.82","2,486.85","2,323.78","2,397.38","2,391.80","2,606.82"
222,"2,395.68","2,458.85","2,326.21","2,390.36","2,398.28","2,626.35"
223,"2,385.21","2,463.56","2,335.27","2,390.56","2,399.67","2,626.02"
224,"2,381.34","2,479.39","2,325.85","2,334.63","2,397.45","2,637.09"
225,"2,383.61","2,480.79","2,329.69","2,350.52","2,405.43","2,627.84"
226,"2,385.95","2,490.16","2,323.07","2,311.08","2,406.61","2,633.71"
227,"2,391.13","2,479.27","2,307.58","2,281.75","2,372.11","2,627.75"
228,"2,391.10","2,485.35","2,306.65","2,283.74","2,362.03","2,615.43"
229,"2,392.99","2,478.81","2,313.67","2,259.57","2,350.75","2,617.05"
230,"2,391.66","2,465.19","2,254.82","2,266.64","2,339.14","2,624.75"
231,"2,384.69","2,467.96","2,271.75","2,299.51","2,353.15","2,566.61"
232,"2,381.30","2,476.01","2,236.94","2,318.81","2,361.12","2,597.31"
233,"2,382.35","2,415.50","2,210.17","2,316.75","2,336.72","2,545.78"
234,"2,358.83","2,444.79","2,233.50","2,330.41","2,328.19","2,510.21"
235,"2,357.63","2,407.13","2,222.88","2,323.83","2,295.78","2,548.55"
236,"2,338.50","2,388.11","2,240.58","2,306.26","2,271.49","2,523.03"
237,"2,317.76","2,415.12","2,276.48","2,321.81","2,246.36","2,552.46"
238,"2,318.14","2,397.85","2,288.84","2,318.21","2,210.94","2,606.95"
239,"2,309.73","2,415.49","2,278.95","2,300.64","2,192.31","2,617.56"
240,"2,316.75","2,445.09","2,289.47","2,272.56","2,170.01","2,594.80"
241,"2,335.09","2,449.50","2,277.51","2,288.03","2,156.48","2,615.38"
242,"2,349.61","2,436.09","2,263.88","2,307.90","2,141.82","2,591.33"
243,"2,353.90","2,447.93","2,284.55","2,330.12","2,176.33","2,571.01"
244,"2,360.86","2,434.57","2,273.24","2,359.71","2,216.53","2,612.41"
245,"2,358.28","2,423.85","2,259.54","2,378.58","2,231.55","2,586.99"
246,"2,352.16","2,447.71","2,241.04","2,390.82","2,258.87","2,566.04"
247,"2,356.91","2,434.73","2,264.08","2,397.02","2,267.45","2,535.29"
248,"2,354.18","2,424.07","2,280.19","2,394.46","2,243.02","2,584.38"
249,"2,348.79","2,408.51","2,291.61","2,399.83","2,238.37","2,609.67"
250,"2,335.93","2,435.08","2,310.36","2,400.11","2,249.54","2,626.19"
251,"2,340.60","2,446.70","2,312.19","2,363.76","2,275.92","2,660.44"
252,"2,350.01","2,455.30","2,315.54","2,345.15","2,261.77","2,656.15"
253,"2,360.19","2,471.86","2,313.47","2,326.30","2,235.85","2,659.50"
254,"2,374.33","2,471.70","2,308.78","2,301.57","2,222.13","2,653.50"
255,"2,384.02","2,475.73","2,316.63","2,310.78","2,239.89","2,645.91"
256,"2,390.41","2,474.54","2,315.39","2,319.34","2,240.88","2,660.78"
257,"2,392.89","2,471.82","2,279.46","2,297.07","2,244.15","2,656.49"
258,"2,392.98","2,481.62","2,271.42","2,281.79","2,204.32","2,600.53"
259,"2,397.19","2,480.73","2,262.16","2,249.23","2,181.13","2,599.43"
260,"2,397.91","2,447.23","2,257.52","2,220.94","2,152.62","2,587.73"
261,"2,382.54","2,447.71","2,272.99","2,192.92","2,157.00","2,584.38"
262,"2,374.29","2,440.39","2,279.27","2,145.13","2,188.97","2,609.88"
263,"2,364.23","2,436.60","2,256.23","2,101.26","2,195.81","2,615.37"
264,"2,354.98","2,453.46","2,251.70","2,071.18","2,181.22","2,576.47"
265,"2,357.84","2,456.40","2,223.33","2,059.36","2,200.51","2,577.52"
266,"2,362.26","2,431.41","2,204.39","2,046.20","2,200.35","2,528.67"
