Index,8 Backcandles,15 Backcandles,30 Backcandles,60 Backcandles,180 Backcandles,Actual Price
0,"2,083.76","2,058.05","2,061.21","2,082.99","2,158.86","2,111.63"
1,"2,087.11","2,065.00","2,065.86","2,101.91","2,182.45","2,105.45"
2,"2,094.30","2,078.51","2,076.19","2,091.06","2,197.66","2,109.72"
3,"2,107.22","2,073.89","2,036.24","2,094.94","2,204.13","2,120.87"
4,"2,103.95","2,077.64","2,051.03","2,103.04","2,199.19","2,089.72"
5,"2,107.65","2,087.17","2,067.76","2,100.45","2,210.16","2,105.69"
6,"2,116.71","2,049.05","2,096.15","2,080.75","2,189.40","2,118.64"
7,"2,082.41","2,060.00","2,108.50","2,098.49","2,185.22","2,152.15"
8,"2,089.58","2,077.54","2,096.44","2,128.44","2,209.83","2,163.49"
9,"2,104.44","2,107.05","2,101.16","2,136.58","2,142.32","2,150.65"
10,"2,132.13","2,121.20","2,107.33","2,128.63","2,110.95","2,154.45"
11,"2,148.39","2,109.81","2,102.28","2,127.51","2,144.16","2,157.79"
12,"2,140.51","2,111.63","2,082.47","2,120.00","2,110.74","2,151.42"
13,"2,142.19","2,117.07","2,098.58","2,050.89","2,044.67","2,135.51"
14,"2,146.67","2,112.90","2,124.57","2,067.11","1,968.84","2,152.96"
15,"2,143.13","2,093.39","2,128.86","2,039.17","1,955.70","2,182.14"
16,"2,126.22","2,107.51","2,123.12","2,064.58","1,920.63","2,181.45"
17,"2,137.48","2,134.40","2,128.21","2,093.44","1,917.77","2,175.88"
18,"2,161.38","2,141.82","2,123.59","2,097.33","1,911.33","2,182.29"
19,"2,170.69","2,136.28","2,062.98","2,107.99","1,924.93","2,175.72"
20,"2,167.91","2,138.95","2,081.93","2,113.22","1,933.58","2,118.69"
21,"2,171.12","2,135.22","2,051.11","2,122.17","1,967.43","2,141.59"
22,"2,166.97","2,076.22","2,075.79","2,123.01","2,002.44","2,101.36"
23,"2,113.45","2,090.09","2,103.07","2,123.20","2,051.89","2,135.96"
24,"2,120.43","2,063.43","2,108.99","2,128.72","2,071.28","2,167.40"
25,"2,097.60","2,087.33","2,127.47","2,140.82","2,116.82","2,169.17"
26,"2,116.88","2,118.03","2,139.63","2,145.39","2,182.60","2,193.79"
27,"2,144.38","2,127.53","2,154.92","2,144.52","2,213.29","2,204.27"
28,"2,156.29","2,144.84","2,159.30","2,133.19","2,235.43","2,221.94"
29,"2,173.58","2,156.47","2,162.70","2,138.09","2,265.37","2,221.11"
30,"2,185.31","2,169.95","2,168.15","2,117.24","2,316.59","2,221.30"
31,"2,198.64","2,173.44","2,177.95","2,113.95","2,323.95","2,226.41"
32,"2,203.72","2,174.94","2,178.91","2,139.43","2,313.68","2,237.63"
33,"2,206.55","2,179.17","2,175.29","2,084.46","2,310.77","2,235.17"
34,"2,211.46","2,188.39","2,162.93","2,067.98","2,313.64","2,232.22"
35,"2,220.25","2,190.18","2,164.73","2,112.43","2,315.14","2,221.43"
36,"2,222.57","2,186.36","2,140.72","2,104.76","2,282.78","2,220.92"
37,"2,220.59","2,174.13","2,138.67","2,070.23","2,239.12","2,199.81"
38,"2,209.63","2,175.80","2,161.95","2,027.51","2,201.50","2,201.06"
39,"2,209.34","2,154.10","2,109.75","2,040.08","2,169.12","2,224.34"
40,"2,189.35","2,150.01","2,098.26","2,032.69","2,128.94","2,167.41"
41,"2,185.20","2,173.75","2,142.88","2,050.87","2,100.38","2,159.32"
42,"2,205.07","2,127.27","2,132.82","2,061.63","2,061.06","2,211.99"
43,"2,164.77","2,113.14","2,106.81","2,079.45","2,065.69","2,192.40"
44,"2,149.45","2,156.18","2,078.85","2,084.78","2,076.88","2,160.30"
45,"2,183.96","2,152.87","2,102.31","2,098.66","2,070.97","2,127.84"
46,"2,183.89","2,127.48","2,099.10","2,103.69","2,070.44","2,167.79"
47,"2,163.61","2,097.05","2,122.16","2,114.69","2,124.14","2,154.68"
48,"2,136.69","2,117.31","2,134.88","2,092.78","2,151.06","2,187.95"
49,"2,151.49","2,119.08","2,156.11","2,096.61","2,219.50","2,200.69"
50,"2,151.71","2,142.32","2,161.53","2,119.61","2,277.94","2,227.30"
51,"2,171.71","2,156.76","2,175.62","2,113.76","2,321.09","2,229.54"
52,"2,186.49","2,176.75","2,176.36","2,104.75","2,354.46","2,246.02"
53,"2,205.50","2,181.49","2,182.09","2,111.97","2,392.78","2,240.17"
54,"2,212.62","2,192.73","2,154.60","2,143.92","2,391.69","2,246.58"
55,"2,223.73","2,192.76","2,151.39","2,144.75","2,409.29","2,210.11"
56,"2,225.25","2,196.32","2,163.74","2,137.62","2,389.89","2,210.52"
57,"2,229.54","2,169.65","2,148.87","2,144.80","2,388.61","2,225.27"
58,"2,206.58","2,164.16","2,135.95","2,166.64","2,392.14","2,205.71"
59,"2,200.59","2,176.95","2,140.90","2,194.92","2,394.31","2,190.38"
60,"2,210.01","2,165.31","2,170.00","2,202.61","2,330.08","2,202.46"
61,"2,200.65","2,153.04","2,168.79","2,205.55","2,257.51","2,238.66"
62,"2,189.15","2,157.10","2,165.21","2,215.71","2,155.10","2,233.01"
63,"2,192.29","2,186.75","2,175.62","2,230.05","2,123.31","2,228.29"
64,"2,217.16","2,188.97","2,198.45","2,236.18","2,105.53","2,238.17"
65,"2,221.74","2,185.11","2,224.90","2,246.05","2,039.03","2,266.38"
66,"2,219.81","2,194.06","2,231.21","2,238.50","1,953.20","2,296.07"
67,"2,227.09","2,215.80","2,235.04","2,256.79","1,873.99","2,296.28"
68,"2,246.53","2,242.40","2,245.61","2,269.42","1,853.82","2,297.68"
69,"2,271.38","2,249.19","2,259.54","2,254.56","1,830.29","2,309.15"
70,"2,280.58","2,251.16","2,263.93","2,231.77","1,846.64","2,325.64"
71,"2,284.96","2,259.56","2,273.22","2,245.69","1,860.42","2,326.24"
72,"2,293.29","2,272.28","2,265.08","2,229.22","1,903.78","2,335.79"
73,"2,305.07","2,276.91","2,284.15","2,246.30","1,968.59","2,326.26"
74,"2,310.86","2,285.45","2,294.29","2,254.69","2,048.33","2,352.80"
75,"2,319.34","2,278.14","2,280.26","2,251.27","2,133.68","2,360.09"
76,"2,313.55","2,294.97","2,261.83","2,241.74","2,221.01","2,346.20"
77,"2,327.92","2,306.50","2,279.53","2,242.35","2,285.12","2,328.94"
78,"2,339.16","2,293.86","2,263.93","2,215.32","2,377.07","2,351.31"
